ObjectID,Title,Classification,Year,Epoch,Movement,Medium,ImageURL
9019.0,Organizatsiia proizvodstva pobeda nad kapitalisticheskim stroem (Organization of Production is Victory Over the Capitalist Regime),Print,1920,"1915–1939 (Авангард, Конструктивизм, Сюрреализм)","Авангард, Конструктивизм, Сюрреализм",Lithograph,https://www.moma.org/media/W1siZiIsIjUyOTg4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e14ab6f5841e9b1d
9020.0,"""Society of Monkeys"" diploma",Drawing,1922,"1915–1939 (Авангард, Конструктивизм, Сюрреализм)","Авангард, Конструктивизм, Сюрреализм","Watercolor, ink, cut-and-pasted colored and metallic papers and colored crayon",https://www.moma.org/media/W1siZiIsIjI0OTM4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1e03c92a8e11d6b4
9044.0,Self Portrait (Selbstbildnis) from Graphics of Capitalist Realism (Grafik des Kapitalistischen Realismus),Print,1971,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм","Offset lithograph from an illustrated book with suite of three screenprints, two offset lithographs, and one etching",https://www.moma.org/media/W1siZiIsIjI2NjYyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5061349bcc414dac
9069.0,Untitled (Suprematist Cross),Print,1920,"1915–1939 (Авангард, Конструктивизм, Сюрреализм)","Авангард, Конструктивизм, Сюрреализм",Linoleum cut,https://www.moma.org/media/W1siZiIsIjI0ODEzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2cf45af1c7b174d2
9070.0,Untitled,Drawing,1919,"1915–1939 (Авангард, Конструктивизм, Сюрреализм)","Авангард, Конструктивизм, Сюрреализм",Pen and ink,https://www.moma.org/media/W1siZiIsIjUzMDY4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f2f4f3774bc91a4e
9072.0,Valia Zdanevich,Drawing,1923,"1915–1939 (Авангард, Конструктивизм, Сюрреализм)","Авангард, Конструктивизм, Сюрреализм","Collage with photograph, pencil and watercolor manuscript text.",https://www.moma.org/media/W1siZiIsIjUzMDY5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2a46f6a428a51dcd
9075.0,"Orpheus before Pluto and Proserpina (Orpheus vor Pluto und Proserpina) from the illustrated book Eurydikes Wiederkehr, Drei Gesänge (The Return of Eurydice, Three Cantos)",Print,1909,"Начало XX в. (Модерн, Ранний авангард)","Модерн, Ранний авангард",Lithograph,https://www.moma.org/media/W1siZiIsIjExMjg3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b91a47e9e8133f7e
9076.0,Plate (folio 2) from One Day,Print,1971,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts,https://www.moma.org/media/W1siZiIsIjIyMzgwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=532feeb6fb3c0bb4
9077.0,One Day,Print,1971,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",Portfolio of seven soft ground etchings and screenprinted reproductions with texts,https://www.moma.org/media/W1siZiIsIjIyMzgwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=54927b9fe9a8e3c5
9078.0,Plate (folio 4) from One Day,Print,1971,"1960–1979 (Поп-арт, Минимализм, Концептуализм)","Поп-арт, Минимализм, Концептуализм",Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts,https://www.moma.org/media/W1siZiIsIjIyMzgwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=851c16a22a53f0cf
